Date	Total Tests	Total Positive Tests	7 Day Moving Average Positives	7 Day Average of Percent Positive Tests
10/28	869	19	11.86	2.7%
10/27	856	13	12.71	3.1%
10/26	174	3	12.43	3.5%
10/25	0	0	13.14	3.7%
10/24	122	9	13.14	3.7%
10/23	306	27	12.57	3.4%
10/22	767	12	10.71	2.9%
10/21	636	25	11.57	3.1%
10/20	477	11	10.71	2.5%
10/19	216	8	11.57	2.7%
10/18	0	0	10.57	2.6%
10/17	202	5	10.57	2.6%
10/16	287	14	10.86	2.8%
10/15	771	18	13.14	3.2%
10/14	976	19	14.86	3.5%
10/13	549	17	16.86	4.4%
10/12	62	1	17.71	4.8%
10/11	0	0	18.43	4.8%
10/10	114	7	18.43	4.8%
10/9	414	30	18.57	4.8%
10/8	820	30	17.71	4.5%
10/7	701	33	16.14	4.6%
10/6	482	23	17.00	5.1%
10/5	147	6	17.29	5.4%
10/4	0	0	17.43	5.5%
10/3	146	8	17.43	5.5%
10/2	465	24	18.71	5.8%
10/1	528	19	17.71	6.2%
9/30	562	39	17.71	6.6%
9/29	389	25	16.14	6.7%
9/28	126	7	19.14	7.2%
9/27	0	0	19.43	7.2%
9/26	200	17	19.43	7.2%
9/25	208	17	20.57	7.9%
9/24	380	19	20.57	8.0%
9/23	379	28	21.00	9.2%
9/22	638	46	21.71	10.0%
9/21	72	9	16.43	11.2%
9/20	0	0	18.57	11.7%
9/19	195	25	18.57	11.7%
9/18	196	17	16.00	10.9%
9/17	168	22	23.71	14.6%
9/16	300	33	26.14	16.1%
9/15	154	9	29.86	17.0%
9/14	150	24	33.14	18.5%
9/13	0	0	29.71	18.8%
9/12	55	7	29.71	18.8%
9/11	309	71	30.86	17.5%
9/10	171	39	31.29	0.0%
9/9	390	59	34.00	0.0%
9/8	181	32	37.57	0.0%
9/7	2	0	40.14	0.0%
9/6	0	0	46.71	0.0%
9/5	181	15	46.71	0.0%
9/4	406	74	53.71	0.0%
9/3	326	58	49.14	0.0%
9/2	311	84	46.29	0.0%
9/1	307	50	35.43	0.0%
8/31	260	46	28.43	0.0%
8/30	0	0	22.43	0.0%
8/29	16	64	23.29	0.0%
8/28	189	42	14.43	0.0%
8/27	169	38	8.86	0.0%
8/26	139	8	4.14	0.0%
8/25	139	1	3.00	0.0%
8/24	360	4	2.86	0.0%
8/23	448	6	2.29	0.0%
8/22	740	2	1.57	0.0%
8/21	971	3	1.29	0.0%
8/20	1,017	5	1.00	0.0%
8/19	1,021	0	0.29	0.0%
8/18	970	0	0.29	0.0%
8/17	929	0	0.29	0.0%
8/16	788	1	0.29	0.0%
8/15	820	0	0.14	0.0%
8/14	772	1	0.29	0.0%
8/13	20	0	0.14	0.0%
8/12	36	0	0.14	0.0%
8/11	112	0	0.14	0.0%
8/10	36	0	0.14	0.0%
8/9	361	0	0.14	0.0%
8/7	71	1	0.14	0.0%
8/6	15	0	0.00	0.0%
8/5	17	0	0.00	0.0%
8/4	17	0	0.00	0.0%
8/3	20	0	0.00	0.0%
