Date	Tests	Pos	7d Mov Avg Pos	7d Avg % Pos
3/1	41	7	33.29	6.4%
2/28	0	0	35.43	5.9%
2/27	1,325	47	35.43	5.9%
2/26	109	46	33.29	7.8%
2/25	845	43	31.14	5.8%
2/24	769	29	30.00	6.1%
2/23	582	61	30.43	6.5%
2/22	576	22	28.00	5.5%
2/21	0	0	24.71	6.3%
2/20	75	31	24.71	6.3%
2/19	684	26	23.86	6.1%
2/18	556	35	27.00	7.4%
2/17	549	32	25.57	7.0%
2/16	438	38	25.00	6.9%
2/15	443	11	24.29	7.5%
2/14	0	0	23.86	7.9%
2/13	87	25	24.14	6.4%
2/12	493	48	26.29	6.9%
2/11	539	25	24.57	6.4%
2/10	545	28	24.29	5.9%
2/9	168	33	23.14	4.9%
2/8	294	8	22.57	4.6%
2/7	500	2	21.43	4.8%
2/6	132	40	21.14	4.7%
2/5	519	36	18.86	4.2%
2/4	591	29	16.57	4.8%
2/3	552	19	15.86	5.3%
2/2	325	29	16.43	4.1%
2/1	0	0	13.71	3.5%
1/31	489	0	14.86	3.0%
1/30	155	24	16.29	3.5%
1/29	305	12	13.00	2.2%
1/28	274	24	14.71	2.8%
1/27	1,241	23	14.43	2.2%
1/26	275	11	12.43	2.0%
1/25	719	8	12.00	1.7%
1/24	282	10	12.00	1.6%
1/23	1,015	3	10.57	1.5%
1/22	88	24	10.29	1.8%
1/21	998	22	7.00	1.1%
1/20	997	9	4.29	0.9%
1/19	964	8	3.43	0.8%
1/18	869	8	3.14	0.9%
1/17	26	0	2.00	0.8%
1/16	167	1	2.00	0.8%
1/15	335	1	1.86	0.8%
1/14	486	3	2.71	1.4%
1/13	347	3	2.43	1.3%
1/12	323	6	2.29	1.6%
1/11	13	0	2.43	2.0%
1/10	0	0	2.43	2.0%
1/9	118	0	0.00	0.0%
1/8	46	7	0.00	0.0%
1/7	465	1	0.00	0.0%
1/6	55	2	0.00	0.0%
1/5	169	7	0.00	0.0%
1/4	0	0	0.00	0.0%
